"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"rDummy.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rDummy",49,45,56,45,50,50,45,41,54,48
"rDummy.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rDummy",0.141200134374952,7.10679562195548E-02,7.56782156391945E-02,6.75960122925372E-02,2.97255560507331E-02,6.06733925267852E-02,0.069912063471072,4.62298952450273E-02,0.124202583115083,3.80593118975896E-02
"rPier1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier1",35,30,37,29,34,30,27,30,35,32
"rPier1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier1",0.457293920879517,0.479821043463222,0.456144565365063,0.451892457200865,0.404615875985717,0.49188835420517,0.544870979897666,0.371986137503892,0.461823346744032,0.375807697018922
"rPier2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier2",14,15,19,15,16,20,18,11,18,16
"rPier2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier2",0.254840644755546,0.174025864186454,0.276833593086439,0.213975435717808,0.165074812554388,0.343299225046581,0.282780898992359,0.248259375281782,0.190844274721874,0.143451806565725
"Ship.NumberIn","OUTPUT VALUE","Number In","Entity","Ship",49,45,56,45,51,50,45,41,54,48
"Ship.NumberOut","OUTPUT VALUE","Number Out","Entity","Ship",47,44,55,43,49,49,45,40,51,47
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",47,44,55,43,49,49,45,40,51,47
"Pier 1 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 1 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"rDummy.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rDummy",0.141200134374952,7.10679562195548E-02,7.56782156391945E-02,6.75960122925372E-02,2.97255560507331E-02,6.06733925267852E-02,0.069912063471072,4.62298952450273E-02,0.124202583115083,3.80593118975896E-02
"rDummy.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rDummy",1,1,1,1,1,1,1,1,1,1
"rDummy.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rDummy",0.141200134374952,7.10679562195548E-02,7.56782156391945E-02,6.75960122925372E-02,2.97255560507331E-02,6.06733925267852E-02,0.069912063471072,4.62298952450273E-02,0.124202583115083,3.80593118975896E-02
"rPier1.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier1",0.457293920879517,0.479821043463222,0.456144565365063,0.451892457200865,0.404615875985717,0.49188835420517,0.544870979897666,0.371986137503892,0.461823346744032,0.375807697018922
"rPier1.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier1",1,1,1,1,1,1,1,1,1,1
"rPier1.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier1",0.457293920879517,0.479821043463222,0.456144565365063,0.451892457200865,0.404615875985717,0.49188835420517,0.544870979897666,0.371986137503892,0.461823346744032,0.375807697018922
"rPier2.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier2",0.254840644755546,0.174025864186454,0.276833593086439,0.213975435717808,0.165074812554388,0.343299225046581,0.282780898992359,0.248259375281782,0.190844274721874,0.143451806565725
"rPier2.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier2",1,1,1,1,1,1,1,1,1,1
