"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"rDummy.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rDummy",50,48,54,45,51,49,45,45,46,48
"rDummy.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rDummy",0.594711060867436,0.304625581377696,0.307690156998803,0.182825866404481,0.163669648562432,0.184488078180655,0.238179558416289,0.454567851657421,0.278639139780207,0.239010046892259
"rPier1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier1",27,19,29,24,25,27,26,27,26,32
"rPier1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier1",0.598543194939512,0.712134165824871,0.597552712266293,0.625789000701919,0.563201077191289,0.566884676234498,0.569934732856153,0.547721583530901,0.565735937080581,0.507522240655947
"rPier2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier2",22,27,25,21,26,22,18,17,20,16
"rPier2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier2",0.584058446604938,0.526728047608874,0.545136320840953,0.365811891913273,0.295961445599661,0.439835410610712,0.435648969487986,0.631508648658914,0.43102694531281,0.48307475113565
"Ship.NumberIn","OUTPUT VALUE","Number In","Entity","Ship",51,48,54,45,51,49,45,45,47,49
"Ship.NumberOut","OUTPUT VALUE","Number Out","Entity","Ship",47,44,54,43,51,47,42,43,46,47
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",47,44,54,43,51,47,42,43,46,47
"Pier 1 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 1 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
