"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"rDummy.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rDummy",44,47,51,50,52,50,46,41,49,49
"rDummy.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rDummy",0.220959709012068,0.192100536352238,7.44002018842014E-02,0.428568785314913,0.210689472236781,0.179909866332415,0.191842716559925,8.11588130938428E-02,0.178952598980166,0.141344372865565
"rPier1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier1",23,24,30,27,28,25,27,25,28,32
"rPier1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier1",0.640565423914184,0.57789312027905,0.5117334148271,0.635278274907855,0.561755088536613,0.585984848471959,0.519684618283775,0.495546219001546,0.592541458955733,0.440561871868626
"rPier2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","rPier2",21,22,20,21,24,24,19,16,21,16
"rPier2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","rPier2",0.366748985235017,0.456978407712553,0.389382170124749,0.446470196195448,0.455209429641299,0.417144141723195,0.452572663354145,0.393247590727289,0.320905293586384,0.323175296257814
"Ship.NumberIn","OUTPUT VALUE","Number In","Entity","Ship",44,47,51,51,52,51,46,41,49,49
"Ship.NumberOut","OUTPUT VALUE","Number Out","Entity","Ship",43,46,49,47,50,48,44,41,48,47
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",43,46,49,47,50,48,44,41,48,47
"Pier 1 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 1 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 1 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"Pier 2 Loading Operation.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Pier 2 Loading Operation.Queue",0,0,0,0,0,0,0,0,0,0
"rDummy.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rDummy",0.220959709012068,0.192100536352238,7.44002018842014E-02,0.428568785314913,0.210689472236781,0.179909866332415,0.191842716559925,8.11588130938428E-02,0.178952598980166,0.141344372865565
"rDummy.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rDummy",1,1,1,1,1,1,1,1,1,1
"rDummy.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rDummy",0.220959709012068,0.192100536352238,7.44002018842014E-02,0.428568785314913,0.210689472236781,0.179909866332415,0.191842716559925,8.11588130938428E-02,0.178952598980166,0.141344372865565
"rPier1.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier1",0.640565423914184,0.57789312027905,0.5117334148271,0.635278274907855,0.561755088536613,0.585984848471959,0.519684618283775,0.495546219001546,0.592541458955733,0.440561871868626
"rPier1.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier1",1,1,1,1,1,1,1,1,1,1
"rPier1.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier1",0.640565423914184,0.57789312027905,0.5117334148271,0.635278274907855,0.561755088536613,0.585984848471959,0.519684618283775,0.495546219001546,0.592541458955733,0.440561871868626
"rPier2.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","rPier2",0.366748985235017,0.456978407712553,0.389382170124749,0.446470196195448,0.455209429641299,0.417144141723195,0.452572663354145,0.393247590727289,0.320905293586384,0.323175296257814
"rPier2.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","rPier2",1,1,1,1,1,1,1,1,1,1
"rPier2.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","rPier2",0.366748985235017,0.456978407712553,0.389382170124749,0.446470196195448,0.455209429641299,0.417144141723195,0.452572663354145,0.393247590727289,0.320905293586384,0.323175296257814
"Seize Dummy Resource.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Seize Dummy Resource.Queue",0.100618733667519,5.70016861387077E-02,3.05613971588912E-03,1.0176699916681,0.109572976139195,6.20481503961361E-02,0.116261748061812,4.45256194115572E-03,0.015973737389754,2.07371195016493E-02
"Seize Dummy Resource.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Seize Dummy Resource.Queue",19.7578604292583,10.4786078348603,0.517746022456509,175.853374560247,18.2059714200509,8.76317657879046,21.8369892011752,0.938295979794766,2.81659369484642,3.65650433661734
"Ship.NVATime","TALLY AVERAGE","NVA Time","Entity","Ship",0,0,0,0,0,0,0,0,0,0
"Ship.OtherTime","TALLY AVERAGE","Other Time","Entity","Ship",44.3974857177736,36.0814920452898,12.433722507348,73.8950867682597,36.4071408025156,25.6788550458319,36.3722646280344,17.1027352470927,32.2114678164298,25.983305990606
"Ship.TotalTime","TALLY AVERAGE","Total Time","Entity","Ship",361.268510246124,336.163765308026,262.453064482485,546.959295881332,320.53600192212,299.679580748659,342.587437126439,300.338068203891,293.719560238556,262.842835524596
"Ship.TranTime","TALLY AVERAGE","Transfer Time","Entity","Ship",95,95,95,95,95,95,95,95,95,95
"Ship.VATime","TALLY AVERAGE","VA Time","Entity","Ship",201.653678972831,194.375869605379,154.480463461968,195.399790793463,170.194650842751,173.137680722135,188.385592878994,187.297036977003,163.63281969197,138.047429268154
"Ship.WaitTime","TALLY AVERAGE","Wait Time","Entity","Ship",20.2173455555201,10.7064036573573,0.53887851316902,182.664418319609,18.934210276853,5.86304498069154,22.8295796194104,0.938295979794766,2.87527273015572,3.8121002658351
"Ship.WIP","DSTAT AVERAGE","WIP","Entity","Ship",1.80921692590286,1.79563720878256,1.5303070735931,3.06270083227202,1.9020417813687,1.78501756247926,1.78212142761689,1.42521536994902,1.64367401483796,1.4561702806607
"Statistic 1","DSTAT AVERAGE","Time Persistent","User Specified","Statistic 1",20.8925197434801,21.4607241521881,24.8111813173469,19.2945212261077,25.9310154999119,23.1575322481988,19.8936569234134,19.7233518530682,23.5157002602915,22.2714374063645
